"x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","BRUEBACH","0","0","0","1","0","1","0","0","1","0","1","0","0","1","2","0","2","1","0","0","0","1","1","1","0","0","0","0","0","0","2","0","0","0","2","1","0","0","0","0","0","1","1","0","2","1","3","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1"
"76","BRUMATH","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","2","1","2","1","0","0","1","0","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"77","BRUNSTATT","1","0","3","2","5","3","2","0","2","1","4","2","0","0","2","0","2","0","1","0","3","1","6","2","0","1","4","1","5","2","1","1","4","1","6","2","0","0","3","2","3","2","0","0","3","0","3","1","0","0","1","2","1","2","0","1","3","0","4","3","0","0","0","0","0","0","3","0","3","1","6","1"
"78","BUHL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","2","0","0","0","0","0","0","0"
"79","BURNHAUPT LE BAS","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","2","1","0","2","2","0","0","0","1","0","1","0","0","0","0","0","0"
"80","BURNHAUPT LE HAUT","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","BUSCHWILLER","0","2","4","10","5","14","0","2","5","4","5","9","1","0","4","10","10","10","0","0","8","5","9","10","0","0","5","8","6","10","3","1","10","7","15","9","1","2","3","5","4","7","1","1","2","8","5","12","0","0","7","6","9","8","0","2","6","6","8","10","0","1","10","6","12","8","1","2","2","6","4","11"
"82","CARSPACH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1"
"83","CERNAY","0","1","0","1","0","3","0","0","2","0","2","0","0","0","0","1","1","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","3","0","4","1","0","0","1","3","2","4","0","0","3","4","5","4","0","0","1","0","1","0","0","0","2","0","3","0","0","0","1","1","3","2","0","0","1","4","4","4"
"84","CHALAMPE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"85","CHATENOIS","0","1","1","0","2","1","1","1","0","0","1","1","0","1","2","0","3","2","1","0","2","2","3","2","2","0","1","2","3","2","0","0","0","0","1","0","0","1","1","3","1","4","2","0","2","2","5","2","2","0","1","2","5","3","2","0","1","2","3","2","0","2","2","1","2","3","0","0","1","1","1","1"
"86","CLEEBOURG","3","3","26","20","40","39","5","2","34","31","48","48","3","4","28","17","40","28","7","5","34","29","52","45","6","1","28","21","42","28","11","5","31","24","52","39","4","4","42","18","48","28","1","0","21","21","29","25","4","2","29","17","46","23","3","4","30","24","39","29","2","6","28","24","38","39","5","3","22","12","34","19"
